ekatte_code,settlement_name_bg,settlement_name_en,settlement_type,oblast_code,oblast_name_bg,obshtina_name_bg,nuts3_code
00014,Абланица,Ablanitsa,село,BLG,Благоевград,Хаджидимово,BG413
00028,Абланица,Ablanitsa,село,LOV,Ловеч,Ловеч,BG315
00031,Абрит,Abrit,село,DOB,Добрич,Крушари,BG332
00045,Мокрен,Mokren,село,SLV,Сливен,Котел,BG342
00059,Аврамово,Avramovo,село,BLG,Благоевград,Якоруда,BG413
00062,Аврамово,Avramovo,село,KRZ,Кърджали,Ардино,BG425
00084,Аврен,Avren,село,VAR,Варна,Аврен,BG331
00093,Аврен,Avren,село,KRZ,Кърджали,Крумовград,BG425
00103,Агатово,Agatovo,село,GAB,Габрово,Севлиево,BG322
00117,Азманите,Azmanite,село,GAB,Габрово,Трявна,BG322
00120,Върбен,Varben,село,KRZ,Кърджали,Кирково,BG425
00134,Изгрев,Izgrev,село,BLG,Благоевград,Благоевград,BG413
00148,Айрово,Ayrovo,село,KRZ,Кърджали,Кърджали,BG425
00151,Айтос,Aytos,град,BGS,Бургас,Айтос,BG341
00165,Аканджиево,Akandzhievo,село,PAZ,Пазарджик,Белово,BG423
00179,Акациево,Akatsievo,село,VID,Видин,Видин,BG311
00182,Аксаково,Aksakovo,град,VAR,Варна,Аксаково,BG331
00196,Аламовци,Alamovtsi,село,SML,Смолян,Златоград,BG424
00206,Албанци,Albantsi,село,KRZ,Кърджали,Джебел,BG425
00215,Алваново,Alvanovo,село,TGV,Търговище,Търговище,BG334
00223,Алдомировци,Aldomirovtsi,село,SFO,София,Сливница,BG412
00237,Алеково,Alekovo,село,VTR,Велико Търново,Свищов,BG321
00240,Алеково,Alekovo,село,SLS,Силистра,Алфатар,BG325
00254,Алеко Константиново,Aleko Konstantinovo,село,PAZ,Пазарджик,Пазарджик,BG423
00268,Александрия,Aleksandria,село,DOB,Добрич,Крушари,BG332
00271,Александрово,Aleksandrovo,село,BGS,Бургас,Поморие,BG341
00285,Александрово,Aleksandrovo,село,VTR,Велико Търново,Свищов,BG321
00299,Александрово,Aleksandrovo,село,LOV,Ловеч,Ловеч,BG315
00309,Александрово,Aleksandrovo,село,SZR,Стара Загора,Павел баня,BG344
00312,Александрово,Aleksandrovo,село,TGV,Търговище,Търговище,BG334
00326,Александрово,Aleksandrovo,село,HKV,Хасково,Хасково,BG422
00330,Александрово,Aleksandrovo,село,SHU,Шумен,Смядово,BG333
00343,Александрово,Aleksandrovo,село,JAM,Ямбол,Стралджа,BG343
00357,Нови Искър,Novi Iskar,град,SOF,София (столица),Столична,BG411
00360,Александър Стамболийски,Aleksandar Stamboliyski,село,DOB,Добрич,Генерал Тошево,BG332
00374,Самуилово,Samuilovo,село,DOB,Добрич,Добрич-селска,BG332
00388,Алиговска,Aligovska,село,SML,Смолян,Смолян,BG424
00391,Алино,Alino,село,SFO,София,Самоков,BG412
00401,Алтимир,Altimir,село,VRC,Враца,Бяла Слатина,BG313
00415,Алфатар,Alfatar,град,SLS,Силистра,Алфатар,BG325
00429,Алцек,Altsek,село,DOB,Добрич,Добрич-селска,BG332
00432,Ангеларий,Angelariy,село,DOB,Добрич,Тервел,BG332
00446,Ангел войвода,Angel voyvoda,село,HKV,Хасково,Минерални бани,BG422
00456,Ангелов,Angelov,село,GAB,Габрово,Габрово,BG322
00480,Анево,Anevo,село,PDV,Пловдив,Сопот,BG421
00494,Антимово,Antimovo,село,SLS,Силистра,Тутракан,BG325
00504,Антон,Anton,село,SFO,София,Антон,BG412
00518,Антоново,Antonovo,град,TGV,Търговище,Антоново,BG334
00521,Аплаци,Aplatsi,село,VTR,Велико Търново,Елена,BG321
00549,Априлово,Aprilovo,село,SFO,София,Горна Малина,BG412
00552,Априлово,Aprilovo,село,SZR,Стара Загора,Гълъбово,BG344
00566,Априлово,Aprilovo,село,TGV,Търговище,Попово,BG334
00571,Априлци,Apriltsi,село,PAZ,Пазарджик,Пазарджик,BG423
00583,Арбанаси,Arbanasi,село,VTR,Велико Търново,Велико Търново,BG321
00597,Арда,Arda,село,SML,Смолян,Смолян,BG424
00607,Ардино,Ardino,град,KRZ,Кърджали,Ардино,BG425
00610,Арзан,Arzan,село,PER,Перник,Брезник,BG414
00624,Арковна,Arkovna,село,VAR,Варна,Дългопол,BG331
00638,Армените,Armenite,село,GAB,Габрово,Габрово,BG322
00641,Армянковци,Armyankovtsi,село,GAB,Габрово,Трявна,BG322
00655,Арнаутито,Arnautito,село,SZR,Стара Загора,Стара Загора,BG344
00669,Арпаджик,Arpadzhik,село,SML,Смолян,Мадан,BG424
00672,Арчар,Archar,село,VID,Видин,Димово,BG311
00697,Асен,Asen,село,SZR,Стара Загора,Павел баня,BG344
00702,Асеновград,Asenovgrad,град,PDV,Пловдив,Асеновград,BG421
00713,Асеновец,Asenovets,село,SLV,Сливен,Нова Загора,BG342
00730,Асеново,Asenovo,село,VTR,Велико Търново,Стражица,BG321
00744,Асеново,Asenovo,село,PVN,Плевен,Никопол,BG314
00758,Асеново,Asenovo,село,JAM,Ямбол,Тунджа,BG343
00761,Асеновци,Asenovtsi,село,PVN,Плевен,Левски,BG314
00775,Аспарухово,Asparuhovo,село,BGS,Бургас,Карнобат,BG341
00789,Аспарухово,Asparuhovo,село,VAR,Варна,Дългопол,BG331
00792,Аспарухово,Asparuhovo,село,MON,Монтана,Медковец,BG312
00802,Аспарухово,Asparuhovo,село,PVN,Плевен,Левски,BG314
00816,Атолово,Atolovo,село,JAM,Ямбол,Стралджа,BG343
00828,Ауста,Austa,село,KRZ,Кърджали,Момчилград,BG425
00833,Ахелой,Aheloy,град,BGS,Бургас,Поморие,BG341
00847,Ахматово,Ahmatovo,село,PDV,Пловдив,Садово,BG421
00850,Гълъбово,Galabovo,село,SML,Смолян,Баните,BG424
00864,Ахрянско,Ahryansko,село,KRZ,Кърджали,Ардино,BG425
00878,Ахтопол,Ahtopol,град,BGS,Бургас,Царево,BG341
00881,Абланица,Ablanitsa,село,PAZ,Пазарджик,Велинград,BG423
00895,Айдемир,Aydemir,село,SLS,Силистра,Силистра,BG325
00905,Априлци,Apriltsi,село,KRZ,Кърджали,Кирково,BG425
00919,Антимово,Antimovo,село,VID,Видин,Видин,BG311
02021,Баба Тонка,Baba Tonka,село,TGV,Търговище,Попово,BG334
02035,Бабек,Babek,село,PDV,Пловдив,Брезово,BG421
02049,Бабино,Babino,село,KNL,Кюстендил,Бобов дол,BG415
02052,Бабинска река,Babinska reka,село,KNL,Кюстендил,Бобов дол,BG415
02066,Бабица,Babitsa,село,PER,Перник,Брезник,BG414
02076,Баблон,Bablon,село,SML,Смолян,Смолян,BG424
02083,Бабово,Babovo,село,RSE,Русе,Сливо поле,BG323
02097,Бабук,Babuk,село,SLS,Силистра,Силистра,BG325
02107,Бабяк,Babyak,село,BLG,Благоевград,Белица,BG413
02110,Багалевци,Bagalevtsi,село,VTR,Велико Търново,Елена,BG321
02124,Багра,Bagra,село,KRZ,Кърджали,Кърджали,BG425
02138,Багренци,Bagrentsi,село,KNL,Кюстендил,Кюстендил,BG415
02141,Багрилци,Bagriltsi,село,KRZ,Кърджали,Крумовград,BG425
02155,Багрянка,Bagryanka,село,KRZ,Кърджали,Момчилград,BG425
02169,Бадевци,Badevtsi,село,VTR,Велико Търново,Елена,BG321
02172,Бадино,Badino,село,KNL,Кюстендил,Бобошево,BG415
02191,Баевци,Baevtsi,село,VTR,Велико Търново,Елена,BG321
02207,Баевци,Baevtsi,село,GAB,Габрово,Габрово,BG322
02213,Баждари,Bazhdari,село,VTR,Велико Търново,Елена,BG321
02227,Байкал,Baykal,село,PVN,Плевен,Долна Митрополия,BG314
02230,Байкалско,Baykalsko,село,PER,Перник,Радомир,BG414
02244,Байково,Baykovo,село,SHU,Шумен,Хитрино,BG333
02258,Байлово,Baylovo,село,SFO,София,Горна Малина,BG412
02261,Бакалите,Bakalite,село,KRZ,Кърджали,Черноочене,BG425
02289,Бакьово,Bakyovo,село,SFO,София,Своге,BG412
02292,Балабаново,Balabanovo,село,KRZ,Кърджали,Момчилград,BG425
02302,Балабанско,Balabansko,село,LOV,Ловеч,Троян,BG315
02333,Балалея,Balaleya,село,GAB,Габрово,Дряново,BG322
02347,Баланите,Balanite,село,GAB,Габрово,Габрово,BG322
02350,Баланово,Balanovo,село,KNL,Кюстендил,Дупница,BG415
02364,Балван,Balvan,село,VTR,Велико Търново,Велико Търново,BG321
02378,Балванците,Balvantsite,село,GAB,Габрово,Дряново,BG322
02381,Балдево,Baldevo,село,BLG,Благоевград,Гърмен,BG413
02395,Балей,Baley,село,VID,Видин,Брегово,BG311
02405,Балик,Balik,село,DOB,Добрич,Тервел,BG332
02419,Балиновци,Balinovtsi,село,GAB,Габрово,Габрово,BG322
02436,Балкан,Balkan,село,HKV,Хасково,Стамболово,BG422
02448,Балканец,Balkanets,село,LOV,Ловеч,Троян,BG315
02453,Балкан махала,Balkan mahala,село,PDV,Пловдив,Лъки,BG421
02467,Балкански,Balkanski,село,RAZ,Разград,Разград,BG324
02470,Балканци,Balkantsi,село,VTR,Велико Търново,Стражица,BG321
02484,Балканци,Balkantsi,село,DOB,Добрич,Генерал Тошево,BG332
02498,Балуци,Balutsi,село,VTR,Велико Търново,Елена,BG321
02508,Балчик,Balchik,град,DOB,Добрич,Балчик,BG332
02511,Балша,Balsha,село,SOF,София (столица),Столична,BG411
02539,Бальовци,Balyovtsi,село,SFO,София,Ихтиман,BG412
02542,Балювица,Balyuvitsa,село,MON,Монтана,Берковица,BG312
02556,Банари,Banari,село,GAB,Габрово,Дряново,BG322
02563,Бангейци,Bangeytsi,село,GAB,Габрово,Трявна,BG322
02587,Баниска,Baniska,село,RSE,Русе,Две могили,BG323
02590,Баница,Banitsa,село,VRC,Враца,Враца,BG313
02600,Баничан,Banichan,село,BLG,Благоевград,Гоце Делчев,BG413
02614,Банище,Banishte,село,PER,Перник,Брезник,BG414
02628,Банковец,Bankovets,село,TGV,Търговище,Антоново,BG334
02631,Банковци,Bankovtsi,село,GAB,Габрово,Габрово,BG322
02645,Банкя,Bankya,село,PER,Перник,Трън,BG414
02659,Банкя,Bankya,град,SOF,София (столица),Столична,BG411
02662,Баново,Banovo,село,VAR,Варна,Суворово,BG331
02676,Банско,Bansko,град,BLG,Благоевград,Банско,BG413
02689,Банчовци,Banchovtsi,село,SFO,София,Ихтиман,BG412
02693,Баня,Banya,село,BLG,Благоевград,Разлог,BG413
02703,Баня,Banya,село,BGS,Бургас,Несебър,BG341
02717,Баня,Banya,село,PAZ,Пазарджик,Панагюрище,BG423
02720,Баня,Banya,град,PDV,Пловдив,Карлово,BG421
02734,Баня,Banya,село,SLV,Сливен,Нова Загора,BG342
02748,Бараково,Barakovo,село,KNL,Кюстендил,Кочериново,BG415
02751,Бараци,Baratsi,село,KRZ,Кърджали,Крумовград,BG425
02765,Детелина,Detelina,село,BGS,Бургас,Карнобат,BG341
02779,Барутин,Barutin,село,SML,Смолян,Доспат,BG424
02782,Горна Арда,Gorna Arda,село,SML,Смолян,Смолян,BG424
02796,Басарбово,Basarbovo,село,RSE,Русе,Русе,BG323
02806,Баскалци,Baskaltsi,село,BLG,Благоевград,Петрич,BG413
02810,Бата,Bata,село,BGS,Бургас,Поморие,BG341
02823,Батак,Batak,село,VTR,Велико Търново,Павликени,BG321
02837,Батак,Batak,град,PAZ,Пазарджик,Батак,BG423
02854,Батин,Batin,село,RSE,Русе,Борово,BG323
02868,Батишница,Batishnitsa,село,RSE,Русе,Две могили,BG323
02871,Батово,Batovo,село,DOB,Добрич,Добрич-селска,BG332
02885,Батошево,Batoshevo,село,GAB,Габрово,Севлиево,BG322
02899,Батулия,Batulia,село,SFO,София,Своге,BG412
02909,Батулци,Batultsi,село,LOV,Ловеч,Ябланица,BG315
02912,Баурене,Baurene,село,VRC,Враца,Криводол,BG313
02926,Бахалин,Bahalin,село,SFO,София,Сливница,BG412
02935,Баховица,Bahovitsa,село,LOV,Ловеч,Ловеч,BG315
02943,Бахреци,Bahretsi,село,GAB,Габрово,Трявна,BG322
02957,Бацова махала,Batsova mahala,село,PVN,Плевен,Никопол,BG314
02960,Бачево,Bachevo,село,BLG,Благоевград,Разлог,BG413
02974,Бачково,Bachkovo,село,PDV,Пловдив,Асеновград,BG421
02988,Букаците,Bukatsite,село,SML,Смолян,Смолян,BG424
02991,Башево,Bashevo,село,KRZ,Кърджали,Ардино,BG425
03006,Бащино,Bashtino,село,KRZ,Кърджали,Кърджали,BG425
03017,Бащино,Bashtino,село,SLS,Силистра,Главиница,BG325
03023,Бащино,Bashtino,село,SZR,Стара Загора,Опан,BG344
03037,Баячево,Bayachevo,село,TGV,Търговище,Търговище,BG334
03040,Бдинци,Bdintsi,село,DOB,Добрич,Добрич-селска,BG332
03054,Беброво,Bebrovo,село,VTR,Велико Търново,Елена,BG321
03068,Беглеж,Beglezh,село,PVN,Плевен,Плевен,BG314
